DOB,_id,_version_,address,city,collection_id,id,latitude,longitude,name,sex,state
1994-06-08T22:11:38Z,5a9bf8a2e2615618b43d4e2d,1593675226432929792,549 MOUNTAINVIEW DR.,Akutan,V_US_Participant,1318,54,-166,"DELUCCA,SHALEE V",M,Alaska
1999-02-08T22:11:38Z,5a9bf8a2e2615618b43d4e2e,1593675226435026944,476 VIA DEL PLANO,Cold Bay,V_US_Participant,1319,55,-163,"MUSSER,WOONG T",F,Alaska
1999-01-08T22:11:38Z,5a9bf8a2e2615618b43d4e2f,1593675226435026945,330 S THIRD ST,False Pass,V_US_Participant,1320,55,-163,"BAYLY,JASHAN G",M,Alaska
1999-11-08T22:11:38Z,5a9bf8a2e2615618b43d4e30,1593675226435026946,6200 E CANYON RIM RD #110D,King Cove,V_US_Participant,1321,55,-162,"SUGITA,LLOYD R",F,Alaska
1995-10-08T22:11:38Z,5a9bf8a2e2615618b43d4e31,1593675226435026947,"750 LAS GALLINAS AVE, SUITE 116A",Atka,V_US_Participant,1324,52,-174,"OSWALD II,DE QIAN B",M,Alaska
1996-11-08T22:11:38Z,5a9bf8a2e2615618b43d4e32,1593675226436075520,,Saint George Island,V_US_Participant,1325,57,-170,"YAPPERT,DEZARAEE L",F,Alaska
1994-01-08T22:11:38Z,5a9bf8a2e2615618b43d4e33,1593675226436075521,1526 LINCOLN ST,Nikolski,V_US_Participant,1326,53,-169,"DAMACION,TAL ",M,Alaska
1994-05-08T22:11:38Z,5a9bf8a2e2615618b43d4e34,1593675226436075522,2235 INYO #5,Dutch Harbor,V_US_Participant,1329,54,-167,"SAVITZ,KEALLIE ANN M",F,Alaska
1995-04-08T22:11:38Z,5a9bf8a2e2615618b43d4e35,1593675226436075523,6931 STOCKTON AVENUE,Anchorage,V_US_Participant,1330,61,-150,"ST LAWRENCE,MARCHELLE W",M,Alaska
1994-02-08T22:11:38Z,5a9bf8a2e2615618b43d4e36,1593675226437124096,18579 OLIVE ST,Anchorage,V_US_Participant,1331,61,-150,"KISSUN,ALMARIS M",F,Alaska
1999-04-08T22:11:38Z,5a9bf8a2e2615618b43d4e37,1593675226437124097,8022 TAMOSHANTER DRIVE,Anchorage,V_US_Participant,1332,61,-150,"ZINNERMAN,JOSEPH TODD M",M,Alaska
1997-07-08T22:11:38Z,5a9bf8a2e2615618b43d4e38,1593675226437124098,8830 TRENTON ROAD,Jber,V_US_Participant,1334,60,-159,"FERBER,ALEX A",M,Alaska
1999-08-08T22:11:38Z,5a9bf8a2e2615618b43d4e39,1593675226437124099,110 N VALERIA ST #206,Jber,V_US_Participant,1335,60,-159,"GHIGGIA,FINIS L",F,Alaska
1993-03-08T22:11:38Z,5a9bf8a2e2615618b43d4e3a,1593675226437124100,105 CLEAR WATER,Anchorage,V_US_Participant,1338,61,-150,"MENDOZA-RODRIGUEZ,SHAUTAVIA ",M,Alaska
1997-05-08T22:11:38Z,5a9bf8a2e2615618b43d4e3b,1593675226438172672,5807 TEMPLE CITY BLVD,Anchorage,V_US_Participant,1339,61,-150,"GOBBEL,LAVERNIA ",F,Alaska
1997-11-08T22:11:38Z,5a9bf8a2e2615618b43d4e3c,1593675226438172673,3624 RONK WY,Anchorage,V_US_Participant,1340,61,-150,"HANEEF,KASIE R",M,Alaska
1997-06-08T22:11:38Z,5a9bf8a2e2615618b43d4e3d,1593675226438172674,3440 MARGARET D,Anchorage,V_US_Participant,1343,61,-150,"LEICHLITER,ZIA ",F,Alaska
1997-01-08T22:11:38Z,5a9bf8a2e2615618b43d4e3e,1593675226438172675,2525 NW LOVEJOY ST #404,Anchorage,V_US_Participant,1344,61,-150,"ANNIE,ROZINA ",M,Alaska
1996-08-08T22:11:38Z,5a9bf8a2e2615618b43d4e3f,1593675226438172676,8 ESTRELLA CIRCLE,Anchorage,V_US_Participant,1345,61,-150,"BOMAN,CAPRIESHA M",F,Alaska
1999-08-08T22:11:38Z,5a9bf8a2e2615618b43d4e40,1593675226439221248,430 WILLOW AVE,Anchorage,V_US_Participant,1348,61,-150,"IBARRA VELASCO,ANATOLI J",M,Alaska
1995-11-08T22:11:38Z,5a9bf8a2e2615618b43d4e41,1593675226439221249,1076 REED AVE APT #76,Anchorage,V_US_Participant,1349,61,-150,"TIDWELL JR,DEQUAN R",F,Alaska
1994-11-08T22:11:38Z,5a9bf8a2e2615618b43d4e42,1593675226439221250,2502 TOLWORTH A,Anchorage,V_US_Participant,1350,61,-150,"STRICKLAN,HYESOOK V",M,Alaska
1998-04-08T22:11:38Z,5a9bf8a2e2615618b43d4e43,1593675226439221251,6450 DOUGHRTY RD,Anchorage,V_US_Participant,1351,61,-150,"PACKEBUSH,BENJAMIN JR R",F,Alaska
1993-04-08T22:11:38Z,5a9bf8a2e2615618b43d4e44,1593675226439221252,4220 PRIMRISE AVENUE,Anchorage,V_US_Participant,1352,61,-150,"MOLLENA,DHEKRA L",M,Alaska
1993-12-08T22:11:38Z,5a9bf8a2e2615618b43d4e45,1593675226439221253,8260 W FLAGER ST 1 H,Anchorage,V_US_Participant,1353,61,-150,"FURRY ROSEMARI,JONATHON V",F,Alaska
